district,cases,deaths,recoveries
Blantyre,2029,79,1876
Lilongwe,1398,49,1171
Nkhata Bay,196,2,193
Zomba,158,7,144
Mangochi,155,2,150
Dowa,95,3,91
Karonga,91,4,77
Nkhotakota,87,1,84
Machinga,70,0,69
Thyolo,70,1,68
Mchinji,66,5,46
Chitipa,64,3,61
Neno,59,0,58
Rumphi,56,3,53
Dedza,54,0,50
Ntcheu,53,1,47
Kasungu,49,1,38
Balaka,49,1,45
Salima,47,0,47
Chikwawa,44,0,44
Mulanje,43,1,37
Chiradzulu,37,1,35
Nsanje,37,1,31
Mwanza,27,1,26
Phalombe,11,1,8
Likoma,4,2,2
Ntchisi,4,0,3
Mwanza,204,0,204
Mzimba,746,16,683
